COLUMN,DATA TYPE,DESCRIPTION
MODULE,VARCHAR2(2),Module
TRN_REF_NO,VARCHAR2(16),Branch+Product/Process Code+Julian Date+ Serial No. Generated by trpks
EVENT_SR_NO,NUMBER,Contract Event Sequence Number
EVENT,VARCHAR2(4),Contract Event
AC_ENTRY_SR_NO,NUMBER(10),Unique number for an entry. Generated by sequence ACSQ_ENTRY_SR_NO
AC_BRANCH,VARCHAR2(3),Account Branch
AC_NO,VARCHAR2(20),Account Number
AC_CCY,VARCHAR2(3),Account Currency
DRCR_IND,CHAR(1),Debit/Credit indicator/ D- Debit/ C - Credit
TRN_CODE,VARCHAR2(3),Transaction Code
AMOUNT_TAG,VARCHAR2(35),Amount Tag
FCY_AMOUNT,"NUMBER(22,3)",Foreign Currency Amount
EXCH_RATE,"NUMBER(24,12)",Currency Exchange Rate
LCY_AMOUNT,"NUMBER(22,3)",Local Currency Amount
RELATED_CUSTOMER,VARCHAR2(9),Related customer ID
RELATED_ACCOUNT,VARCHAR2(20),Related account number
RELATED_REFERENCE,VARCHAR2(16),Related reference number
MIS_FLAG,CHAR(1),"MIS flag, Y/N"
MIS_HEAD,VARCHAR2(9),MIS head reported
TRN_DT,DATE,Transaction Date
VALUE_DT,DATE,Value Date
TXN_INIT_DATE,DATE,Transaction Initiation Date
FINANCIAL_CYCLE,VARCHAR2(9),Financial Cycle
PERIOD_CODE,VARCHAR2(3),Period Code
INSTRUMENT_CODE,VARCHAR2(16),Instrument Code - Stores Cheque No/DD No/MCK No
BATCH_NO,VARCHAR2(4),Batch No
CURR_NO,NUMBER(6),Current Number in accounting entry - Not used
USER_ID,VARCHAR2(12),User ID who did transaction
BANK_CODE,VARCHAR2(12),Bank Code
AVLDAYS,NUMBER(3),Fund Available Days - Derived based on transaction code AVL_FLAG setup
BALANCE_UPD,CHAR(1),Balance Update /U- Updated/ T - Tanked/R - Required
TYPE,CHAR(1),Type of GL/1 - Nostro /2 - Misc. Debit/3 - Misc. Credit/4 - Inter branch/5 - Cash/6 - Normal
AUTH_ID,VARCHAR2(12),Authorizer ID
PRINT_STAT,CHAR(1),Print Status Y/N
AUTH_STAT,CHAR(1),"Auth Status, A/U"
CATEGORY,CHAR(1),Catgeory of GL/ 1- Asset/2- Liability/3- Income/4- Expense/5- Contingent Asset/6- Contingent Liability/7 - Memo/8 - Position GL/9 - Position Equivalent GL
CUST_GL,CHAR(1),Customer Account or GL Account entry/G - GL/A - Customer Account
DISTRIBUTED,CHAR(1),Distributed transaction/ Y/N
NODE,VARCHAR2(20),Node logged for distributed transactions
DELETE_STAT,CHAR(1),Delete Status / D - Deleted/Blank Space - Not deleted
ON_LINE,CHAR(1),Online flag/Y/N
UPDACT,CHAR(1),Consider for activity flag/ Y/N
NODE_SR_NO,NUMBER(10),Node serial number
