COLUMN	DATA TYPE	DESCRIPTION
md	VARCHAR2(2)	Module
TRN_RNO	VARCHAR2(16)	Branch+Product/Process Code+Julian Date+ Serial No. Generated by trpks
EVENT_SR_NO	NUMBER	Contract Event Sequence Number
EVENT	VARCHAR2(4)	Contract Event
AC_ENT_SR_NO	NUMBER(10)	Unique number for an entry. Generated by sequence ACSQ_ENTRY_SR_NO
AC_BR	VARCHAR2(3)	Account Branch
AC_NO	VARCHAR2(20)	Account Number
AC_CCY	VARCHAR2(3)	Account Currency
DRCR_IND	CHAR(1)	Debit/Credit indicator/ D- Debit/ C - Credit
TRN_CODE	VARCHAR2(3)	Transaction Code
AMNT_TAG	VARCHAR2(35)	Amount Tag
FCY_AMNT	NUMBER(22,3)	Foreign Currency Amount
EXCH_RATE	NUMBER(24,12)	Currency Exchange Rate
LCY_AMNT	NUMBER(22,3)	Local Currency Amount
R_CUST	VARCHAR2(9)	Related customer ID
R_ACC	VARCHAR2(20)	Related account number
R_REF	VARCHAR2(16)	Related reference number
MIS_F	CHAR(1)	MIS flag, Y/N
MIS_H	VARCHAR2(9)	MIS head reported
TRN_DT	DATE	Transaction Date
V_DT	DATE	Value Date
TXN_INIT_D	DATE	Transaction Initiation Date
F_CYC	VARCHAR2(9)	Financial Cycle
P_CODE	VARCHAR2(3)	Period Code
INST_CODE	VARCHAR2(16)	Instrument Code - Stores Cheque No/DD No/MCK No
BAT_NO	VARCHAR2(4)	Batch No
CURR_NO	NUMBER(6)	Current Number in accounting entry - Not used
USER_ID	VARCHAR2(12)	User ID who did transaction
B_CODE	VARCHAR2(12)	Bank Code
AVLDAYS	NUMBER(3)	Fund Available Days - Derived based on transaction code AVL_FLAG setup
BAL_UPD	CHAR(1)	Balance Update /U- Updated/ T - Tanked/R - Required
TYPE	CHAR(1)	Type of GL/1 - Nostro /2 - Misc. Debit/3 - Misc. Credit/4 - Inter branch/5 - Cash/6 - Normal
ATH_ID	VARCHAR2(12)	Authorizer ID
P_STAT	CHAR(1)	Print Status Y/N
ATH_STAT	CHAR(1)	Auth Status, A/U
CAT	CHAR(1)	Catgeory of GL/ 1- Asset/2- Liability/3- Income/4- Expense/5- Contingent Asset/6- Contingent Liability/7 - Memo/8 - Position GL/9 - Position Equivalent GL
CUST_GL	CHAR(1)	Customer Account or GL Account entry/G - GL/A - Customer Account
DISTR	CHAR(1)	Distributed transaction/ Y/N
NODE	VARCHAR2(20)	Node logged for distributed transactions
D_STAT	CHAR(1)	Delete Status / D - Deleted/Blank Space - Not deleted
ON_LINE	CHAR(1)	Online flag/Y/N
UPDACT	CHAR(1)	Consider for activity flag/ Y/N
NODE_SR_NO	NUMBER(10)	Node serial number
