Model,Fuel Economy,Number of Doors,Price,Model Year Range,Number of Cylinders
812 Superfast,13/20 mpg,2,"$366,712",2018 - Present,12
F8 Tributo,15/19 mpg,2,"$276,550",2020 - Present,8
Roma,16/24 mpg,2,"$218,750",2021 - Present,8
Portofino M,16/22 mpg,2,"$254,475",2021 - Present,8
SF90 Stradale,18 mpg (combined),2,"$625,000",2020 - Present,8
488 Pista,15/20 mpg,2,"$350,050",2019 - 2020,8
GTC4Lusso,12/17 mpg,4,"$298,750",2017 - 2020,12
488 GTB,15/22 mpg,2,"$262,647",2016 - 2019,8
California T,16/23 mpg,2,"$202,723",2015 - 2018,8
LaFerrari,12 mpg (combined),2,"$1,420,000",2014 - 2016,12
XUV300,13-20 km/l,5,Rs. 7.96 - 13.33 Lakh,2019 - present,3/4
Scorpio,15 km/l,"5, 7",Rs. 12.57 - 16.53 Lakh,2020 - present,4
Thar,7-12 km/l,"4, 6",Rs. 12.11 - 16.86 Lakh,2020 - present,4
Bolero,16 km/l,"5, 7",Rs. 8.67 - 9.39 Lakh,2001 - present,3
Marazzo,17 km/l,"7, 8",Rs. 12.4 - 14.12 Lakh,2018 - present,4
Alturas G4,12 km/l,5,Rs. 28.74 - 31.73 Lakh,2018 - present,4
Camry,26-34 mpg,4,"$25,045-$35,130",2018-2021,4 / 6
Corolla,30-33 mpg,4,"$20,025-$25,725",2019-2021,4
RAV4,27-40 mpg,4,"$26,250-$37,330",2019-2021,4
Highlander,21-36 mpg,4,"$35,085-$47,230",2019-2021,6
4Runner,16-19 mpg,4,"$36,765-$50,745",2018-2021,6
Tacoma,18-23 mpg,2 / 4,"$26,150-$46,780",2019-2021,4 / 6
Tundra,13-17 mpg,2 / 4,"$33,675-$51,995",2018-2021,8
Mustang,16-21 mpg city / 24-32 mpg highway,2,"$28,450-$61,600",2015-2021,4/6/2008
F-150,16-20 mpg city / 22-26 mpg highway,2/4,"$28,940-$70,825",2015-2021,6/8
Explorer,18-21 mpg city / 24-28 mpg highway,4,"$33,860-$54,365",2015-2021,4/6
Escape,23-26 mpg city / 31-34 mpg highway,4,"$26,130-$40,395",2015-2021,3/4
Edge,21-22 mpg city / 28-29 mpg highway,4/5,"$32,250-$43,400",2015-2021,4/6
Ranger,21-23 mpg city / 26-26 mpg highway,4,"$24,820-$42,660",2019-2021,4
Bronco Sport,23-25 mpg city / 28-32 mpg highway,4,"$26,820-$38,160",2021,3/4
Camaro,16-23 mpg,2,"$25,000-$72,000",2010-2021,"4, 6, 2008"
Corvette,15-23 mpg,2,"$60,000-$125,000",1953-2021,"6, 8"
Spark,30-33 mpg,4,"$13,400-$16,800",2013-2021,4
Bolt EV,118 mpg-e,4,"$36,500-$41,700",2017-2021,
Equinox,22-28 mpg,4/5,"$25,000-$35,000",2005-2021,"4, 6"
Suburban,15-20 mpg,4/5/6/8,"$51,700-$76,000",1935-2021,"6, 8"
Tahoe,15-22 mpg,4/5/6/8,"$49,000-$75,000",1995-2021,"6, 8"
Silverado 1500,16-23 mpg,2/4,"$28,000-$60,000",1999-2021,"6, 8"
Colorado,17-22 mpg,2/4,"$26,000-$45,000",2004-2021,"4, 5, 2006"
Silverado HD (2500/3500),13-20 mpg,2/4/2005,,,
Altima,28-32 mpg,4,"$25,225-$36,550",2019-2022,4
Maxima,23-26 mpg,4,"$37,240-$44,030",2019-2022,6
Sentra,28-33 mpg,4,"$20,460-$24,940",2019-2022,4
Versa,32-35 mpg,4,"$15,650-$18,340",2019-2022,4
Rogue,27-30 mpg,4,"$26,980-$34,430",2019-2022,4
Murano,20-24 mpg,4,"$32,610-$45,030",2019-2022,6
Pathfinder,20-24 mpg,4,"$32,940-$45,340",2019-2022,6
Armada,13-16 mpg,4,"$52,300-$69,050",2019-2022,8
GT-R,16-20 mpg,2,"$113,540-$210,740",2019-2022,6
X1 sDrive28i,26/33 mpg,4,"$35,400",2020-2022,4
X3 xDrive30i,23/29 mpg,4,"$43,000",2020-2022,4
X5 xDrive40i,21/26 mpg,4,"$60,700",2020-2022,6
330i Sedan,26/36 mpg,4,"$42,250",2020-2022,4
530i Sedan,24/34 mpg,4,"$56,400",2020-2022,4
740i Sedan,22/29 mpg,4,"$86,800",2020-2022,6
M4 Coupe,16/23 mpg,2,"$73,100",2020-2022,6
M8 Convertible,15/21 mpg,2,"$142,500",2020-2022,8
C-Class,24/35 mpg,4,"$43,200",2022,4
E-Class,22/31 mpg,4,"$55,300",2022,4
S-Class,16/24 mpg,4,"$109,800",2022,8
G-Class,13/17 mpg,4,"$131,750",2022,8
GLC-Class,22/29 mpg,4,"$43,200",2022,4
A3,28/36 mpg,4 doors,"$33,300",2019-present,4
A4,24/31 mpg,4 doors,"$39,100",2016-present,4
A5,24/31 mpg,2 doors,"$44,000",2018-present,4
Q3,19/27 mpg,4 doors,"$36,000",2019-present,4
Q5,22/27 mpg,4 doors,"$44,100",2018-present,4
Q7,19/23 mpg,4 doors,"$54,950",2017-present,4
Golf,23-34 mpg,"2, 4","$23,195",1974-2022,"4, 6"
Jetta,25-36 mpg,4,"$18,995",1980-2022,"4, 6"
Passat,23-34 mpg,"4, 5","$24,990",1973-2022,"4, 6, 2008"
Atlas,18-22 mpg,"4, 5, 2007","$31,545",2018-2022,"4, 6, 2008"
Tiguan,21-29 mpg,"4, 5, 2007","$25,245",2007-2022,"4, 6"
718 Boxster,21/28 mpg,2,"$62,000",2017-2021,4
718 Cayman,21/28 mpg,2,"$61,500",2017-2021,4
911,20/29 mpg,2,"$101,200",2020-2021,6
Panamera,21/27 mpg,4,"$87,200",2020-2021,6
Cayenne,19/23 mpg,4,"$67,500",2020-2021,6
Macan,19/23 mpg,4,"$52,100",2020-2021,4
Ghost,18 MPG,4,"$332,500",2010-2021,12
Wraith,14 MPG,2,"$338,700",2014-2021,12
Dawn,18 MPG,4,"$346,300",2016-2021,12
Phantom,14 MPG,4,"$455,000",2004-2021,12
Cullinan,14 MPG,4,"$341,125",2019-2021,12
540C,22 mpg combined,2,"$160,000",2016-2018,8
570S,21 mpg combined,2,"$192,500",2016-2018,8
570GT,20 mpg combined,2,"$202,950",2017-2018,8
600LT,19 mpg combined,2,"$242,500",2019,8
720S,18 mpg combined,2,"$299,000",2018-2020,8
Artura,21 mpg combined,2,"$225,000",2022- present,6
ES,25-44 mpg,4,"$39,900-$48,900",1989-Present,4/6
IS,22-32 mpg,4,"$39,050-$45,100",1998-Present,4/6
GS,20-28 mpg,4,"$51,065-$52,760",1993-2020,6/8
LS,18-28 mpg,4,"$76,000-$82,825",1989-Present,6/8
UX,29-39 mpg,4,"$32,900-$40,900",2019-Present,4
NX,22-33 mpg,4,"$38,935-$47,770",2015-Present,4
RX,19-31 mpg,4/5,"$45,070-$50,620",1998-Present,6/8
GX,15-18 mpg,4/5,"$54,225-$64,365",2003-Present,8
